DBN,School_Name,Neighborhood,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teacher_Percentage,Female_Teacher_Percentage,Student_Teacher_Ratio,Leadership_Teacher_Ratio,Support_Staff_Ratio,Avg_Years_Title,Avg_Years_School,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Performance
72X312,MILLENNIUM ART ACADEMY,Pelham - Throgs Neck,64.36322222222223,3.0,36.0,6.0,45.0,33.33333333,66.66666667,3.4460784313725488,0.0833333333333333,0.1333333333333333,11.50000000012,6.566666666650001,0.0,29.86764705882353,69.77235294117648,0.3594117647058823,Medium
73K564,BUSHWICK COMMUNITY HIGH SCHOOL,Williamsburg - Bushwick,58.93699999999999,3.0,10.0,5.0,18.0,40.35874439,59.64125561,4.185714285714285,0.3,0.2777777777777778,0.0,0.0,0.0,13.30714285714286,86.69285714285715,0.0,Low
72X243,WEST BRONX ACADEMY FOR THE FUTURE,Fordham - Bronx Park,63.25166666666667,4.0,55.0,15.0,74.0,34.54545455,65.45454545,2.140909090909091,0.0727272727272727,0.2027027027027027,8.9763636364,6.9145454546,0.1725,16.178125,83.649375,0.0,Medium
71M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,Central Harlem - Morningside Heights,64.81433333333332,3.0,46.0,11.0,60.0,39.13043478,60.86956521999999,2.0498721227621486,0.0652173913043478,0.1833333333333333,15.86086956522,7.99130434786,0.0,76.29117647058824,23.708823529411767,0.0,Medium
73K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,East Flatbush - Flatbush,75.37455555555556,7.0,65.0,13.0,85.0,50.76923077,49.23076923,3.774660633484163,0.1076923076923077,0.1529411764705882,13.58153846157,8.66923076925,0.4358823529411765,93.43,6.133529411764705,0.0,High
72X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,Fordham - Bronx Park,64.55214285714285,4.0,35.0,10.0,49.0,51.42857143,48.57142857,3.3684210526315788,0.1142857142857142,0.2040816326530612,14.22857142865,8.57142857145,4.285263157894737,36.97368421052632,58.54526315789473,0.1947368421052631,Medium
72X542,PELHAM PREPARATORY ACADEMY,Northeast Bronx,64.6738888888889,3.0,33.0,7.0,43.0,36.36363636,63.63636364,3.474747474747476,0.0909090909090909,0.1627906976744186,10.56363636356,6.66363636364,1.835,31.03333333333333,57.675,9.456666666666669,Medium
71M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,Upper East Side,66.0,3.0,23.0,7.0,33.0,34.7826087,65.2173913,4.03623188405797,0.1304347826086956,0.2121212121212121,8.6478260868,6.626086956399999,18.05333333333333,13.575,51.06333333333333,17.311666666666667,Medium
73K525,EDWARD R. MURROW HIGH SCHOOL,Borough Park,70.01111111111112,14.0,223.0,63.0,300.0,40.35874439,59.64125561,2.92700548081714,0.0627802690582959,0.21,13.66143497756,9.9035874439,28.296666666666667,21.38888888888889,23.38833333333333,26.924444444444443,High
77Q492,MATHEMATICS  SCIENCE RESEARCH AND TECHNOLOGY MAGNE,Southeast Queens,62.38698523698523,3.0,28.0,7.0,38.0,39.28571429,60.71428571,4.838293650793651,0.1071428571428571,0.1842105263157894,8.457142857040001,2.98214285713,9.558055555555557,75.3525,15.08888888888889,0.0,Medium
