DBN,School_Name,Subject,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teachers,Male_Avg_Years_Title,Male_Avg_Years_School,Male_Teacher_Percentage,Female_Teachers,Female_Avg_Years_Title,Female_Avg_Years_School,Female_Teacher_Percentage,Asian,Asian_Percentage,Black_African_American,Black_African_American_Percentage,Hispanic,Hispanic_Percentage,White,White_Percentage,Year,Total Tested,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,latitude,longitude,ZIP Code_x,School Type,School Level,Neighborhood,ZIP Code_y
73K635,OLYMPUS ACADEMY,living_environment,61.15599999999999,2.0,16.0,5.0,23.0,,,,,,,,,,,6.0,37.5,,,7.0,43.75,2019.5625,43.9375,48.825,51.175,12.14375,0.0,98.828125,1.171875,0.0,40.645965,-73.898607,11236.0,Transfer School,High school,Canarsie - Flatlands,11236
73K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,common_core_algebra,61.376666666666665,3.0,30.0,10.0,43.0,14.0,9.3,4.7,46.66666667,16.0,6.9,4.0,53.33333333,,,12.0,40.0,,,11.0,36.66666667,2019.8333333333333,98.11111111111111,44.56388888888889,55.440555555555555,14.803888888888887,5.525555555555556,82.56777777777778,8.008333333333333,3.8966666666666665,40.634451,-73.916927,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,common_core_english,69.15666666666667,3.0,30.0,10.0,43.0,14.0,9.3,4.7,46.66666667,16.0,6.9,4.0,53.33333333,,,12.0,40.0,,,11.0,36.66666667,2019.8333333333333,98.11111111111111,44.56388888888889,55.440555555555555,14.803888888888887,5.525555555555556,82.56777777777778,8.008333333333333,3.8966666666666665,40.634451,-73.916927,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,living_environment,60.33166666666667,3.0,30.0,10.0,43.0,14.0,9.3,4.7,46.66666667,16.0,6.9,4.0,53.33333333,,,12.0,40.0,,,11.0,36.66666667,2019.8333333333333,98.11111111111111,44.56388888888889,55.440555555555555,14.803888888888887,5.525555555555556,82.56777777777778,8.008333333333333,3.8966666666666665,40.634451,-73.916927,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K639,BROOKLYN LAB SCHOOL,common_core_algebra,58.00333333333333,4.0,27.0,9.0,40.0,8.0,14.600000000000001,4.9,29.629629629999997,19.0,13.2,6.0,70.37037037,,,10.0,37.03703704,7.0,25.92592593,8.0,29.629629629999997,2019.8333333333333,166.44444444444446,63.54277777777778,36.45722222222222,7.506111111111112,11.722222222222221,23.99888888888889,62.30277777777778,1.9744444444444444,40.693002,-73.869305,11208.0,General Academic,High school,East New York,11208
73K639,BROOKLYN LAB SCHOOL,common_core_english,55.324999999999996,4.0,27.0,9.0,40.0,8.0,14.600000000000001,4.9,29.629629629999997,19.0,13.2,6.0,70.37037037,,,10.0,37.03703704,7.0,25.92592593,8.0,29.629629629999997,2019.8333333333333,166.44444444444446,63.54277777777778,36.45722222222222,7.506111111111112,11.722222222222221,23.99888888888889,62.30277777777778,1.9744444444444444,40.693002,-73.869305,11208.0,General Academic,High school,East New York,11208
73K639,BROOKLYN LAB SCHOOL,living_environment,56.425000000000004,4.0,27.0,9.0,40.0,8.0,14.600000000000001,4.9,29.629629629999997,19.0,13.2,6.0,70.37037037,,,10.0,37.03703704,7.0,25.92592593,8.0,29.629629629999997,2019.8333333333333,166.44444444444446,63.54277777777778,36.45722222222222,7.506111111111112,11.722222222222221,23.99888888888889,62.30277777777778,1.9744444444444444,40.693002,-73.869305,11208.0,General Academic,High school,East New York,11208
73K642,URBAN ACTION ACADEMY,common_core_algebra,55.12833333333333,3.0,10.0,5.0,18.0,,,,,,,,,,,5.0,50.0,,,5.0,50.0,2019.5,81.3125,61.504375,38.4975,8.231875,0.0,88.10375,7.834375,4.0625,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K642,URBAN ACTION ACADEMY,common_core_english,62.958333333333336,3.0,10.0,5.0,18.0,,,,,,,,,,,5.0,50.0,,,5.0,50.0,2019.5,81.3125,61.504375,38.4975,8.231875,0.0,88.10375,7.834375,4.0625,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K642,URBAN ACTION ACADEMY,living_environment,55.58,3.0,10.0,5.0,18.0,,,,,,,,,,,5.0,50.0,,,5.0,50.0,2019.5,81.3125,61.504375,38.4975,8.231875,0.0,88.10375,7.834375,4.0625,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
